,Sentiment,Date
0,0.007041569541569543,2019-07-01
1,0.1050414862914863,2019-07-02
2,-0.02277777777777778,2019-07-03
3,0.013257575757575756,2019-07-04
4,0.0473159009449332,2019-07-05
5,0.0,2019-07-06
6,-6.1679056923619804e-18,2019-07-07
7,0.04474957912457912,2019-07-08
8,0.004701779701779702,2019-07-09
9,0.024270140428677017,2019-07-10
10,-0.0010554260554260573,2019-07-11
11,0.028147303147303147,2019-07-12
12,0.06818181818181818,2019-07-13
13,0.08352272727272726,2019-07-14
14,0.04001137259115982,2019-07-15
15,0.01531986531986532,2019-07-16
16,0.027702861952861948,2019-07-17
17,0.020049931129476582,2019-07-18
18,0.011464947089947096,2019-07-19
19,-0.0375,2019-07-20
20,0.0,2019-07-21
21,0.04668542568542568,2019-07-22
22,0.028243265993265994,2019-07-23
23,0.018137153851439564,2019-07-24
24,0.05534143518518519,2019-07-25
25,0.03687516187516188,2019-07-26
26,0.065,2019-07-27
27,-0.016666666666666666,2019-07-28
28,0.07583041958041958,2019-07-29
29,0.01015543364681296,2019-07-30
30,0.028467047524424572,2019-07-31
31,0.023054407713498624,2019-08-01
32,0.018979797979797975,2019-08-02
33,0.022727272727272724,2019-08-03
34,0.10781249999999999,2019-08-04
35,0.07253701790633608,2019-08-05
36,0.04250927643784787,2019-08-06
37,0.04374166501617482,2019-08-07
38,0.031201741728057522,2019-08-08
39,-0.04692480359147026,2019-08-09
40,0.03712121212121212,2019-08-10
41,0.0609375,2019-08-11
42,0.05496632996632996,2019-08-12
43,0.002040043290043289,2019-08-13
44,0.06246685606060607,2019-08-14
45,0.02030612244897959,2019-08-15
46,-0.016359447004608296,2019-08-16
47,0.09031385281385282,2019-08-17
48,0.06666666666666667,2019-08-18
49,-0.010664335664335663,2019-08-19
50,0.05963410143097644,2019-08-20
51,0.02226138940424655,2019-08-21
52,-0.0019086210946676057,2019-08-22
53,0.03192340067340068,2019-08-23
54,0.05,2019-08-24
55,0.05030303030303031,2019-08-25
56,0.05808948863636364,2019-08-26
57,-0.005286911669890392,2019-08-27
58,0.008853238265002972,2019-08-28
59,0.045942760942760945,2019-08-29
60,-0.010606060606060607,2019-08-30
61,-0.07500000000000001,2019-08-31
62,-0.01060606060606061,2019-09-01
63,-0.00730952380952381,2019-09-02
64,0.031057526484355752,2019-09-03
65,0.03848592306039115,2019-09-04
66,0.029871212121212114,2019-09-05
67,0.06710205503308952,2019-09-06
68,0.07012987012987013,2019-09-07
69,0.03939393939393939,2019-09-08
70,0.05128995702365268,2019-09-09
71,0.02027168234064786,2019-09-10
72,-0.021181035276779954,2019-09-11
73,0.023340017825311945,2019-09-12
74,9.775171065493889e-05,2019-09-13
75,0.125,2019-09-14
76,-0.061910774410774416,2019-09-15
77,-0.01304323476702509,2019-09-16
78,0.027894465488215493,2019-09-17
79,0.018914141414141415,2019-09-18
80,0.09741418421503167,2019-09-19
81,0.04033078631138976,2019-09-20
82,-0.0375,2019-09-21
83,0.022889610389610387,2019-09-22
84,0.007250642311617922,2019-09-23
85,-0.00512703566274995,2019-09-24
86,0.05287339644482502,2019-09-25
87,0.05952085510275166,2019-09-26
88,-0.0018761690983913235,2019-09-27
89,0.0,2019-09-28
90,0.0035714285714285704,2019-09-29
91,0.022929403685982633,2019-09-30
92,0.04302542470156106,2019-10-01
